Id_Number,Location,Yelp,Google,Average
328,California burritos,,,0
329,California burritos,,,0
330,California burritos,,,0
331,California burritos,,,0
332,Los palmitos,4,4.1,4.05
333,Los palmitos,4,4.1,4.05
334,Taco Villa,,,0
335,Taco Villa,,,0
336,Lupe's Taco Shop,,,0
337,Lupe's Taco Shop,,,0
338,Filiberto's,3,3.8,3.4
339,Filiberto's,3,3.8,3.4
340,Don Carlos Taco Shop,4,4.5,4.25
341,Don Carlos Taco Shop,,,0
342,Los Tacos 2,4.5,5,4.75
343,Rubios UCSD,,,0
344,Rigoberto's Taco Shop,,,0
345,Rigoberto's Taco Shop,,,0
346,El Dorado Mexican Food,,,0
347,El Dorado Mexican Food,,,0
348,Los Tacos 2,,,0
349,Roberto's Taco Shop Hillcrest,4,4.2,4.1
350,Roberto's Taco Shop Hillcrest,4,4.2,4.1
351,Roberto's Taco Shop Hillcrest,4,4.2,4.1
352,Burros and Fries,,,0
353,Burros and Fries,,,0
354,Taco Stand Encinitas ,,,0
355,Taco Stand Encinitas,,,0
356,Cotixan,,,0
357,Vallarta Express,,,0
358,Vallarta Express,,,0
359,Caliente Mexican Food,3.5,4.4,3.95
360,Caliente Mexican Food,3.5,4.4,3.95
361,Caliente Mexican Food,3.5,4.4,3.95
362,Caliente Mexican Food,3.5,4.4,3.95
363,Burrito Factory,4.5,4.8,4.65
364,Taco Villa,,,0
365,Taco VIlla,,,0
366,Los Tacos 2,,,0
367,Los Tacos 2,,,0
368,Valentines Mexican Food,,,0
369,Valentines Mexican Food,,,0
370,Vallarta Express,,,0
371,Lalo's Tacos,3,3.9,3.45
372,Roberto's Taco Shop Hillcrest,,,0
373,Roberto's Taco Shop Hillcrest,,,0
374,Kotija Jr,4,4.2,4.1
375,Kotija Jr,4,4.2,4.1
376,El Rey Moro,,,0
377,El Rey Moro,,,0
378,Taco Villa,,,0
379,Taco Villa,,,0
380,Los Tacos,,,0
381,Los Tacos,,,0
382,Rigoberto's Taco Shop,,,0
383,Rigoberto's Taco Shop,,,0
384,Burrito Box,4,4.5,4.25
385,Taco Stand,,,0
386,Taco Stand,,,0
387,Lolita's Taco Shop,,,0
388,El Patron,4.5,3.8,4.15
389,La Posta de Acapulco,3.5,4.3,3.9
390,Los Tacos 2,,,0
391,Rigoberto's Taco Shop,,,0
392,Taco Villa,,,0
393,Taco Villa,,,0
394,Taco Villa,,,0
395,Mikes Taco Club,,,0
396,Mikes Taco Club,,,0
397,Taco Villa,,,0
398,El Zarape,,,0
399,Taco Villa,,,0
400,Taco Villa,,,0
401,Lucha Libre Carlsbad ,3.5,3.8,3.65
402,Lucha Libre Carlsbad ,3.5,3.8,3.65
403,Lucha Libre Carlsbad ,3.5,3.8,3.65
404,Lucha Libre Carlsbad ,3.5,3.8,3.65
405,Taco Villa,,,0
406,Taco Villa,,,0
407,Taco Villa,,,0
408,Tony's Fresh Mexican Food,,,0
409,Tony's Fresh Mexican Food,,,0
410,Tony's Fresh Mexican Food,,,0
411,Tony's Fresh Mexican Food,,,0
412,Tony's Fresh Mexican Food,,,0
413,Taco Stand,,,0
414,Kotija Jr,,,0
415,Valentine's Mexican Food,,,0
416,Valentine's Mexican Food,,,0
417,Valentine's Mexican Food,,,0
418,Valentine's Mexican Food,,,0
419,Valentine's Mexican Food,,,0
420,Valentine's Mexican Food,,,0
421,Valentine's Mexican Food,,,0
422,Valentine's Mexican Food,,,0
423,Valentine's Mexican Food,,,0
424,"Friesen, Upton and Witting",1.04,1.51,1.275
425,Grant-Wilderman,2.92,4.66,3.79
426,McGlynn-Schulist,2.99,3.31,3.15
427,Lueilwitz Group,4.07,3.86,3.965
428,"Gislason, Grimes and Wintheiser",4.67,4.06,4.365
429,Zemlak and Sons,4.84,2.28,3.56
430,Kulas Inc,4.7,1.86,3.28
431,Gusikowski Group,1.61,3.92,2.765
432,Heller-Trantow,4.14,2.46,3.3
433,Spencer LLC,2.19,2.94,2.565
434,Adams Inc,3.8,4.55,4.175
435,Tillman Inc,3.02,2.46,2.74
436,Prohaska-Koelpin,4.61,3.85,4.23
437,Stokes Inc,3.47,2.03,2.75
438,Fritsch LLC,1.72,4.27,2.995
439,"Zboncak, Bruen and Armstrong",3.57,2.09,2.83
440,Funk-Jaskolski,2.15,2.48,2.315
441,Pfannerstill-Nicolas,4.06,1.09,2.575
442,Hand LLC,3.35,1.83,2.59
443,"Schimmel, Zieme and Lindgren",1.96,1.5,1.73
